lci_name,activity_name,flow_type,name,reference_product,categories,unit,location,impact_score,share_%,total_score
Au-Ag ingot,gold-silver mine operation and beneficiation,Biosphere (direct),Sulfur dioxide,,"('air', 'non-urban air or from high stacks')",kilogram,,0.10023430301274164,4.995680385189519,2.006419452091091
Au-Ag ingot,gold-silver mine operation and beneficiation,Biosphere (direct),Nitrogen oxides,,"('air', 'non-urban air or from high stacks')",kilogram,,0.09419964734489683,4.6949129827624985,2.006419452091091
Au-Ag ingot,gold-silver mine operation and beneficiation,Biosphere (direct),"Particulate Matter, < 2.5 um",,"('air', 'non-urban air or from high stacks')",kilogram,,0.006019769704316127,0.3000254856003475,2.006419452091091
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),"market for diesel, burned in building machine","diesel, burned in building machine",,megajoule,GLO,0.5050099671864282,25.169710484022005,2.006419452091091
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),market for chromium,chromium,,kilogram,GLO,0.25239140144610034,12.579194304713202,2.006419452091091
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),"market for cement, Portland","cement, Portland",,kilogram,CA-QC,0.20701972673379537,10.317868804453592,2.006419452091091
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),"market for steel, unalloyed","steel, unalloyed",,kilogram,GLO,0.11504936646114704,5.734063549934314,2.006419452091091
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),market for copper sulfate,copper sulfate,,kilogram,GLO,0.09953601840851822,4.96087786154494,2.006419452091091
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),market for sodium cyanide,sodium cyanide,,kilogram,RoW,0.09801302713323452,4.8849719350101655,2.006419452091091
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),"market for sulfur dioxide, liquid","sulfur dioxide, liquid",,kilogram,RoW,0.07370487729433564,3.6734530866674167,2.006419452091091
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),"market for electricity, high voltage","electricity, high voltage",,kilowatt hour,CA-QC,0.0709189315497409,3.534601475071883,2.006419452091091
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),"market for mine infrastructure, underground, non-ferrous metal","mine infrastructure, underground, non-ferrous metal",,unit,GLO,0.07061753729753932,3.5195799773542715,2.006419452091091
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),"market for hydrogen peroxide, without water, in 50% solution state","hydrogen peroxide, without water, in 50% solution state",,kilogram,RoW,0.06961342007430205,3.469534747669582,2.006419452091091
Au-Ag ingot,gold-silver mine operation and beneficiation,Technosphere (first-tier),"market for oxygen, liquid","oxygen, liquid",,kilogram,RoW,0.04352491134381813,2.1692827638037726,2.006419452091091
